Gross capital formation (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bahamas,,,,,,,,,,,,,,,,,,"12,5105189341","11,3407015858","12,8268110011","18,2880256012","18,8433232408","21,4661340132","20,331255771","16,3490272289","19,1709405957","18,422649379","18,7951372166",,"31,4996734161","29,4147188882","29,3568958202","27,8613702155","23,3395860285","25,8606934643","27,6550014582","30,493765586","27,4681982029","29,5814495275","26,3833453046","27,9002053243","24,8867094463","21,9232664118","22,1331103474","21,1887861617","25,2794430267","30,3328517619","28,1750345835","24,5589124949","23,6312286835","21,7133931307",
Bahrain,,,,,,,,,,,,,,,,,,,,,"46,1272870012","41,6136343802","36,2780857893","43,8550202222","42,5808635768","35,6492599659","26,6271681206","25,4586809074","20,1996987619","24,6368825027","16,4298289738","28,5994128681","29,4167039857","18,3040968576","19,6331321026","14,6085300241","14,4052658253","17,4464869623","21,4227342112","7,9052021526","10,2939701064","12,1930766134","20,1810436635","20,9085948158","24,8692152918","24,4166057421","24,3940080184","26,9936795427","33,2272870777",,,
Bangladesh,"6,8942657873","7,7294115402","11,9904084642","9,855628615","11,9751661298","11,4762751141","9,0168982533","10,7087041279","14,154801365","12,508363763","11,3446569131","8,2278273149","4,6976964596","8,7120068727","7,3748572359","6,1479058161","9,9113620545","11,5232177936","11,5467985367","11,2038721114","14,4393913031","17,6214393921","17,8197047603","16,9717468186","15,919981543","16,3181740529","16,7013597475","16,0162482084","16,3130727852","16,7235947083","17,0541221367","16,8959684871","17,3050348537","17,9468266129","18,4025565927","19,1197933485","19,9932217825","20,7228661764","21,6324170934","22,1930558027","23,0239723644","23,0870168143","23,1474994601","23,4053086016","24,0231117769","24,527214215","24,6506188302","24,4641801536","24,2079108516","24,3722299719","24,4137501741",
Barbados,"24,1655540721","21,4017521902","18,6522262335","19,6256684492","19,5371367061","17,6500508647","20,6701274186","20,5203524969","23,707210488","24,0284974093","26,1157024793","23,0826507818","22,2569134701","22,2082797801","22,8150468744","19,2269817824","27,0093885963","24,0136876006","22,8776978417","23,5350849327","24,5175092853","27,5648420854","22,6381909548","19,9403634987","16,2410986967","15,4280258543","16,0128488097","16,0174343489","17,5303293753","19,1503034748","18,8419281454","17,1037893869","9,474347059","12,723417393","13,3874587272","15,1338490485","14,2570577485","16,684430736","18,4847972617","19,842085126","18,5024525517","19,6116925401","20,7838869593","20,6936351206","23,6143810154","23,990428974","21,6647626658","21,9872410081","22,4580002572","22,4478983882","14,6283002798",
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,5127020785","29,0470723307","31,7912382996","41,0303251735","32,9363071246","24,7501981004","23,519020096","26,8368108288","26,7120180825","23,7067712752","25,3986730605","23,7608599446","22,1768515933","24,9543276594","28,6673014374","28,4604661957","32,1841371567","34,0919031794","37,6416510261","37,2742869366","40,6293798124",
Belgium,,,,,,,,,,,"28,0543590525","27,1056659739","25,2096378173","26,1911207468","28,7533619883","25,2786434823","25,6045368964","25,280579764","25,078466778","24,6382701457","25,2054379897","21,4257203627","20,5010255866","17,8056515133","18,8109985762","18,012735691","17,6219891051","18,6367477292","20,7498825757","22,3301547484","23,1089600866","21,6794106071","21,4442517632","20,8171931757","20,8939613205","20,6832480949","20,5432003826","20,9856083436","21,2061035031","21,4157981593","22,5760020591","21,1534427418","19,1591380525","19,3955938564","20,8666489754","21,9092062997","22,4438887093","22,8777773275","24,0058868038","19,8793410999","20,1939175032",
Belize,,,,,,,,,,,,,,,,,,,,,"24,107830552","26,0497667185","20,7531380753","20,2116402116","23,5419630156","21,6112837676","20,3642747422","21,9309334627","25,3731343284","30,2905122273","27,1879928217","28,8045940692","26,0888119345","28,363087066","20,5556244754","21,7111139069","20,3168153905","19,9449834924","18,7970069657","24,5974879985","28,6623852661","25,1429481683","22,59613986","18,962923771","17,667481047","18,5058362567","18,5746994002","19,2881568022","25,4581585339",,,
Benin,"11,424971709","10,9628407838","11,1092112742","11,6168292564","9,7341657669","8,7774996451","8,7782951104","11,825162998","12,3746562671","12,6631880652","11,5923801203","10,2856435976","13,3636368389","13,0759687232","18,231115889","19,3020911618","16,6521857965","17,7509342433","16,0640103976","19,0221796951","15,1565679425","15,6767522282","27,6044169313","17,3215150812","12,7803178189","8,9399737424","13,4644446324","12,9269404975","15,63323062","11,8171441449","14,2103507218","14,4961143163","13,7573075829","15,3689526154","15,7670915716","19,5982616617","17,115843643","18,3940592304","16,9978000653","17,5100163209","18,9296392213","19,1841317279","17,6726120509","18,8258619856","18,2443176504","19,5887685165","18,2","21,4","20,6923912317","25,0494991067","25,7837635456",
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,8019081018","11,5064084363","10,0402955864",,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,"34,2347497311","36,2985898908","40,9470017293","39,3007543088","44,9139700637","44,4510367996","40,8133442738","41,6640727797","34,2358271896","32,3856070002","31,8310567732","47,9703734045","44,9852605142","54,851848233","48,0028543104","44,4544724566","34,945442963","36,8495351958","41,0041742495","48,2127284026","53,6396931553","59,2041450766","56,7918064792","58,6688252943","49,91224548","46,1303400732","36,8986483071","39,8218701622","41,2064485043",,
