Gross capital formation (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Congo, Dem. Rep.","6,931732405","7,1405547263","3,9642208609","18,0516760657","18,5096810528","16,8632075423","8,3265735741","12,0196123738","11,2475902755","12,8268045958","14,9222572469","18,3927791266","18,6468732323","16,7202329823","17,0939197895","17,8206514264","14,4707090805","21,3936259978","11,9304434234","12,7398047492","9,9565698739","10,5010245488","8,3193135461","9,3247224756","10,4921594768","12,5021947257","13,1988745025","14,1633790095","14,4286555037","14,3027372911","9,0500368104","5,5758127282","6,9000639962","1,7630376282","7,899999716","9,3736017419","27,8518183832","2,50000004","2,1000000602","3,0873726611","3,4537192054","5,2045935288","8,9557798128","12,2316263162","12,7887407045","14,1948535721","13,040279874","19,5480806016","23,8582876007","28,715329302",,
"Congo, Rep.","53,1868267598","64,6534536926","36,2984793604","22,7410854748","20,3105559477","22,4279805045","30,2582931365","31,5068441895","29,5819836913","26,7053766882","24,2105182316","26,6065356686","29,0821303034","31,9536487417","35,0603277445","39,1119210511","31,0038858258","26,5957412766","27,3323231992","25,9607434824","35,7658157603","48,1631899575","59,7323943662","38,4384385636","30,3912363067","30,284302637","29,4506275252","19,7283630152","18,6191198786","14,1282961973","15,905511811","20,5281644335","21,5985316847","29,4961189317","31,2410928784","36,574512403","26,9523736247","22,2333849672","26,6843752717","27,7720278755","22,6259541985","26,3566372113","23,4075965604","26,0903241702","22,5203408434","20,1902288123","21,6324566637","21,8125548305","18,302979189","22,513019086","20,5231699025",
Costa Rica,"17,5004311414","18,8782255507","19,45333813","18,7944279361","15,9941216215","19,5036265443","19,058391675","19,3573443841","18,0271905814","20,0289995716","20,5364391973","24,3365572972","22,0270689276","23,9933478014","26,7386523689","21,6410983943","23,6621918376","24,2697691915","23,4613613747","25,3140140352","26,5747300513","29,0266474161","24,6860933322","15,8823458312","14,7007614452","13,7514056653","16,0709982985","19,5355436209","17,9220641339","17,7429778371","18,4780484455","17,9351854686","20,2357175735","20,883834621","20,047944955","18,2394208382","15,9576423492","18,0843071774","20,4661961051","17,0312448415","16,9117425794","20,3078765874","22,621249972","20,643388693","23,1298296944","24,3464639456","26,4172050758","24,6649762915","27,5791013184","15,8693183884","19,9756947218",
Cote d'Ivoire,"16,7249347063","19,8409834183","13,8895677977","17,7828302287","21,8445532199","21,8722278402","21,8203464409","19,7822819221","17,8121051208","19,5252903866","22,4956529254","21,801904901","20,8753481644","23,1801100644","22,0162385617","22,4445788847","22,9892273883","27,3323803534","29,7621710104","27,9654493282","26,5361179605","25,9404733808","23,1882903669","18,412771779","11,6507777027","12,9513847396","12,0634100489","12,3172446609","12,6503527484","8,9039559494","6,6888033377","7,3580011607","6,9238846027","9,7930710837","13,7157180667","15,5984458148","12,112070574","14,4243621323","13,3389028126","13,117319881","10,7864683754","11,1615632398","10,0661129763","10,116217796","10,8015893838","9,7356195915","9,3335774487","8,6851815973","10,141129177","11,3584360468","13,8532524875",
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,4009068096","10,4713940553","13,4154194933","15,454135276","17,3732143207","15,7010679239","19,1160273969","24,7836877504","20,4397493193","20,3788696698","19,0614548086","21,4957210988","25,2592221135","27,280000874","26,7324191894","27,300068365","29,4281979053","29,4229835135","30,7027672718","27,0546604233","23,3842863865",
Cuba,,,,,,,,,,,"25,9269412856","25,9369733703","25,9345459317","25,9162430214","25,8920089915","25,9549351874","25,9871337215","25,922408721","25,8247284688","25,7708388904","26,2695660969","26,1481264288","25,5987837228","25,336327204","25,5013909972","28,7632021585","25,5409280519","22,8520702213","24,0240445917","26,3267099694","24,8024922654","13,9954825506","6,5449592781","6,394382058","5,2421308153","7,0142751333","15,8969992765","14,9529689114","13,2029871856","11,8560353672","12,5050711266","11,4643992261","9,1963775364","8,5035444201","8,8017108694","10,7740325765","11,7287707543","10,1836921003","14,8447033362","10,316705899","11,7817004452",
Cyprus,,,,,,,,,,,,,,,,"22,5291828794","26,5648397724","34,8853698889","37,216189536","38,7265798666","37,8140191897","33,8127853881","31,7201688116","30,1134855603","33,5950335352","30,3400337729","25,9229188766","25,5308401494","27,4562849448","30,8919300963","27,045426615","25,8421505216","28,6989600696","24,0877026903","25,515654532","21,9167869398","21,6060496939","19,3629965719","19,1895282026","17,0302861194","18,3253088074","16,4351100122","18,75940499","17,3981259534","20,173350383","19,9214124438","20,757644803","22,4321430821","24,2205125239","17,3433258586","18,4425994847",
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,1517087193","23,0432475458","26,6296646197","26,8482490272","29,7526006439","32,5725764769","33,6850853805","30,4709750018","28,3947321365","27,0941374867","29,4685334938","29,506031339","28,5646753491","27,1723752576","27,5109938247","25,6783658225","26,7890486782","27,0142216289","25,3088240317","21,7462315889","22,5925300803",
Denmark,,,,,,,"25,4218963074","24,95287338","24,5451301938","26,2719772646","26,1771773461","25,2141787029","26,1236241337","27,0388515564","26,0135600559","21,8864142833","24,8998189545","23,9159861568","22,6654841817","22,797817812","19,8976773783","16,6517852991","17,8167660379","17,8446626329","20,1068380716","21,5567274185","23,3623313675","21,392177207","20,238830878","20,6057058054","19,937119936","18,667761559","17,8726994965","16,2430947709","17,6258643015","19,5069369179","19,0367727361","20,8103649387","21,5370204062","19,8361232594","21,1817494009","20,3637885582","20,4075507544","19,630696036","20,3595738586","20,8254678672","22,7139984519","23,3681597674","22,3660013507","17,5907866407","17,1633854767",
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,1478475697","14,1478497142","19,207636445","9,1625154238","6,112137875","8,438206566","9,0717011219","9,5717292021","12,1897846956","8,6169490316","8,7909698638","7,8699034509","10,0497073908","14,4130640866","21,5121436114","18,9718074179","29,5583446156","37,4874745343",,,,
Dominica,,,,,,,,,,,,,,,,,,"21,9042769857","22,9747458183","35,1839464883","50,861690794","33,9336651938","30,8933895343","28,0676552363","36,839935694","28,4844841836","22,3099801718","23,254382365","31,061134289","41,2136855922","40,7931933714","31,6043351533","29,5470777928","26,7699082075","26,910645888","32,3590693263","27,459273183","31,0573981706","26,9722988744","27,7009268225","23,144775552","18,899835888","15,8480806373","18,982018897","20,8625084959","23,3547123521","23,2338266715","23,4585934902","25,3927748296","24,1226939969","22,5596126056",
Dominican Rep.,"12,6115455511","8,8671435274","11,9038956206","16,0182844923","18,3209851259","9,773674488","15,8552693288","15,5295709316","15,3739222575","18,130841593","19,1396248654","17,852856457","19,7051278773","22,0966443985","23,3490566038","24,5103216867","22,5413772948","21,7893650702","23,6720851206","25,3546228185","25,1244153811","23,6135972112","19,9648419499","21,0623967182","21,3292798595","17,5960720635","19,7759386912","24,2291414726","24,5506133768","28,4756932357","25,1407844121","16,728404064","18,080593739","18,4521325162","19,1829153638","17,7146171584","17,9461180251","18,6921765925","23,6270683764","22,4474050991","23,2731027069","21,055354857","21,1671605651","14,9743304451","14,913675662","16,5095558636","18,4050554971","18,9225810713","18,3086417215","14,823942349","16,4749010816",
Ecuador,"12,7285055755","12,8288700655","11,6474336542","11,7604663385","11,6404045857","11,2368639605","11,5528887767","13,1596978463","11,4249037227","14,2117376295","15,531660693","20,3211851139","16,3127907592","16,6216741472","16,3270499007","20,1548722929","20,9887401431","19,994221693","23,1382642983","22,1619365609","22,2278266984","20,4324178694","21,610554499","16,9990164728","16,3430275777","15,7667936652","18,6996601672","22,6717975315","22,1904561822","24,6770980682","20,9158538277","18,980869444","18,2386794456","20,4303931987","21,8704569754","21,5587241394","19,7022422075","21,4598913995","25,2688071665","14,7275692626","20,1119986335","24,2715330942","26,8021970189","20,9791675371","23,2953257867","23,590402287","23,7804528468","24,2912208875","27,8882099797","23,3406509621","26,1764645819",
Egypt,"13,3037649667","15,1725926493","16,2971536068","18,0109386267","17,9268766006","17,6915509173","16,8121922047","14,423877467","12,6285996848","12,957408372","13,9484697881","13,2269907059","12,3395969218","13,1466256633","22,4706163435","33,3652736433","28,3930426911","29,1706600192","31,6590080111","32,8453348198","27,5140915605","29,5092391171","30,0755481462","28,7298299118","27,4838609714","26,6751171703","23,7068516267","26,0827751566","34,9193693922","31,7745127596","28,8128392521","21,169603625","19,4823867721","19,8453608247","20,6285714286","20,1470588235","18,1342632956","17,5629936066","21,503131524","21,6189856957","19,5530726257","18,2603847226","18,2633938873","16,8862275553","16,93797642","17,9758589356","18,7307754962","20,8512352309","22,3897264098","19,1901746306","18,8877838555",
El Salvador,"15,8184143223","13,6615113794","12,5141627011","13,0588624903","17,3678336554","15,1802403761","16,5762969873","14,7715633979","11,5393751081","13,1122544618","13,2471841175","15,593700637","14,164529687","18,2788852321","22,625880705","22,1217324715","19,6196328381","23,4155090025","26,07450337","18,0850211184","13,2737919644","14,2441514743","13,2214126126","12,0551385272","11,9604511843","10,8458256885","13,2511699575","12,3614532127","12,7917474528","15,3275572076","13,8605910614","15,4070297799","18,5280674791","18,5801973145","19,6922624617","20,0445570936","15,1864038732","15,1154850466","17,553415552","16,4262226505","16,9260859717","16,6711766976","16,3874268699","16,9811320755","16,202376205","16,0830242544","16,8290145385","16,3114464633","15,2008772339","13,4340060984","13,2921983342",
Equatorial Guinea,,,"16,5085898354","17,3569277108","18,9091144515","18,6362583335","18,3523850866","20,427841062","20,7998307237","6,7151175146","19,8785320469","20,3909747773","20,8313516598","18,0367371959","16,6335284804","14,9817112889","13,1685581208","13,4876125128",,,,,,,,,,,,,"17,3845832461","50,6986023439","24,2061201231","21,9746914707","74,1036142318","76,3227492251","113,5778554009","65,6801861944","91,5931385397",,"61,3492001026","71,8888722608","31,675294983","59,678658642","43,7341586586","39,8595281756","32,475535819","35,2768742637","25,8603214869","46,6509884532","29,2100331555",
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,8108565418","16,9950134881","25,1373961895","22,5366961317","27,5892573606","31,2807273816","32,2868594493","45,5141790964","23,7838557757","36,6974836206","29,8443177393","24,8955939957","18,8862176054","19,7376913924","13,2945377689","11,0118743432",,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,5259286502","32,8876522792","32,6845219558","30,2243963485","26,2362315444","26,8574001103","26,2078062076","27,0480455766","28,2064385914","28,1352899931","30,8908615586","31,0093291392","25,3079843591","28,3886381119","27,9114274655","32,288577352","33,1475825112","33,0663637532","33,7849682501","38,6979763268","39,6406218453","29,482372081","18,6674351585","19,9744369518",
Ethiopia,,,,,,,,,,,,,,,,,,,,,,"14,5055631916","14,6908211244","13,0258099929","17,7689135412","11,4297471459","16,9694220171","16,1337415018","23,3836444684","13,5447875189","12,9353405063","11,0683552676","10,7135954652","16,529877893","16,3796750873","17,9580783225","16,6046585217","19,7504153974","21,1528072892","21,9143362591","20,2796783099","21,4532465051","23,9265527386","21,8438173972","25,4670640393","22,9942393207","24,2276820493","23,4576402161","19,8693196075","22,4752514985","21,4765581962",
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,"19,730941704","19,6986006459","15,6762295082","17,1206225681","19,8741007194","19,7773972603","20,5513784461","19,9541284404","25,9259259259","24,9215317012","22,1584984359","24,823029731","23,95713739","22,228784706","18,9111111111","20,6258843526","21,4915897186","23,1783164299","22,7570492737","31,0490495189","31,8389721902","34,2832796819","25,5636403647","21,1434062746","18,9210381871","19,0657045196","18,2185126907","16,0319410319","12,8810783573","13,4300188282","14,2828282828","15,7149853085","12,7654953742","15,9785841761","13,4897470439","22,6568984806","16,7001338688","18,3123284046","28,1799677978","22,7851410347","17,261791187","16,1295913175","19,7405219439","21,9949614524","19,1314576339","22,9782072022","22,4766511162","21,1464019452","24,417209295",,,
Finland,,,,,,"29,6385588698","28,0833581305","25,41315628","25,3778793906","25,9156261486","30,7186464937","30,8227067634","28,3827838711","29,8120808823","35,7289122458","34,8984348984","28,2012418716","27,0048589132","23,5398444113","26,8005419866","30,1500435998","27,3343974461","27,4491725768","27,0129704715","25,9125680986","25,4226937237","24,3496594226","25,0634660738","27,4339217273","30,4385996132","28,4753011778","22,1364281775","18,7728154404","16,3167051982","17,5026016922","18,1899566955","17,7774863564","19,1739616316","20,3659404447","19,558375095","20,8646317939","20,471971742","19,1456775685","19,4164817118","19,9919877057","21,8466737386","21,3036527614","22,8882833787","22,3816448538","18,5221252275","18,64167237",
France,,,,,,,,,,,"26,4536467148","24,9319104559","25,2133831864","25,8859382342","26,8145858076","22,5628075851","24,200276147","23,3557302905","22,0906439038","22,5784495105","23,4388351506","21,042395505","21,3026571411","19,2023551674","18,5642785503","18,5109058036","19,1529204121","19,5758893778","20,7028083847","21,5786694373","21,6832142373","20,8674765696","19,2445169845","16,8162901404","17,6518378346","17,9146466964","17,0293158929","16,8345780589","18,1576937287","18,8086615319","19,8917354599","19,5555945155","18,5913259961","18,4603726274","19,2166943741","19,9699554186","20,8628738006","21,9641096965","21,9481737644","19,1005229112","19,3527471944",
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,"31,9553001217","31,9695432921","48,1105990783","37,5543140906","51,7621737961","62,6730103806","73,4946460854","58,0701246016","35,0148367953","32,9196400869","27,5381552754","36,3506431634","35,0155606022","35,1853284841","32,9649145354","41,9926691103","46,3646390091","26,361147762","37,474827143","26,3047547735","21,6771566087","26,4680317664","22,4251144723","22,4485241901","21,8675948705","23,3031666244","24,8489415963","30,7613138434","39,5576567289","26,1685818672","21,902056427","25,7093901062","24,5118541487","23,9551011128","24,3931389459","21,3104118469","25,8745902968","25,9014788748","24,3798870129","27,0355003375","26,6822384131",
Gambia,,,,,,,"8,1780873971","9,187747958","10,5903556851","10,0411052072","6,8898118403","5,5931048035","7,2266089527","8,11996875","5,9570774863","8,5450180072","11,7514572361","13,2785816766","23,1329107143","29,0896652433","26,6954738696","25,3339022092","22,4603305682","18,8831654678","18,313404657","15,0861832006","16,599253267","17,1258329062","16,3559628488","20,3652584499","22,3431942301","21,894496808","22,1738283965","21,0003892774","18,1178794388","20,1848577587","21,5674301126","17,1999998924","18,3999989418","17,7999998843","17,4","17,3998938367","21,1999419054","20,3","30,0157028913","26,815867618","28,3639674751","22,9353606719","24,7316447368","25,9344108761","25,9",
Georgia,,,,,,,,,,,,,,,,,,,,,"29,1038154392","25,3658536585","26,4252696456","31,4589665653","32,8113879004","34,3039772727","29,8833819242","28,5513361463","30,9475119291","28,0139372822","30,7281229125","28,1984334204","23,3882857526","5,999914618","2,6465697831","4,032903957","19,5958573385","17,8373527299","27,1704379454","26,4530145834","26,5815060185","30,3277558023","28,5010838105","31,3207112282","31,9081839241","33,4872807241","30,8581536056","32,0559051606","25,9588543794","13,0260268794","19,5303902205",
Germany,,,,,,,,,,,"30,5052971314","29,6707522285","28,5340156592","27,3095180675","24,676176125","22,7803658228","23,8427215276","23,5022373868","23,7833120168","25,5846013467","25,3763286079","22,9516798377","21,5944076206","22,32959799","22,1082413746","21,5610944186","21,5799179397","21,0277325243","21,7102207222","22,618647307","23,1589245499","24,0394891177","23,4882310119","22,1627673994","22,4587588374","22,3375710035","21,2778666667","21,3311722263","21,8472215135","21,796820318","22,2998778999","20,3458775394","18,0724134697","17,8528521537","17,630823883","17,2689264521","18,1347508535","19,2608606135","19,3758590023","16,5403242788","17,3433462532",
Ghana,"24,3846330803","20,1118520112","17,1225937183","18,7238683876","19,4952273095","17,8805237316","12,8556375132","10,3104431763","11,1045763502","11,7908730058","14,1503999653","14,1171767454","7,1037864796","9,0254773093","13,0469300546","12,7257250887","8,8841901422","11,0638336954","5,3749863742","6,5374530316","5,6240079492","4,572742206","3,3776357537","3,7497692024","6,8769997371","9,5700002312","9,3619997878","10,4339996277","11,2959997514","13,2089998275","14,4440008939","15,8789991998","12,8000001403","22,2101701919","23,9577329491","20,0214146574","21,2","24,8062125356","23,1093894542","21,0005345047","23,9986004972","26,5994216024","19,7","22,9369285371","28,3775071336","29,0021402414","21,6357464046","20,1076838172","21,4522983357","22,8619948832","26,7025969997",
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,"53,3113903874","9,7200625711","24,2909399126","2,388235314","17,1278210458","29,9166480801","33,815619073","37,1325002356","42,9465572749","34,024635154","32,3923308183","33,9867792845","30,0141184497","29,1587338577","28,5453046264","27,2299598361","22,2545814743","26,4944736206","25,4769400813","26,5107438943","27,8794568524","26,9806786338","20,5296255495","23,6528067281","23,8898295229","24,5107766357","25,265288209","22,6010970356","21,5090128822","20,2701522875","19,9876922295","20,9206020111","21,2255918649","22,5812275076","23,8261490097","25,2751198126","25,153299885","24,1804299293","26,5310250504","24,3961155672","21,4047173174","24,2197667969","25,6914757444","23,6771570272","18,3132495435","16,1924116584",
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,"15,7671737167","11,2950981467","26,5310948215","27,0641389086","41,3400758534","41,6537025513","37,1793442571","27,4834310905","26,5476512256","29,9616786786","33,2211197732","33,6986191394","34,1398970936","38,1142264233","37,8848276708","29,447797731","31,1528799717","35,9083191851","32,0777479893","35,245613153","37,7972633304","36,6000017388","39,8809399489","34,5199576434","27,5299347534","24,792906818","31,4736969589","31,9753922032","40,0158971502","32,3913958393","31,7347834032","26,9029628968","23,5557004235",,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,"10,3008821955","8,9161334224","8,7792934593","10,5559075071","12,8165662616","13,3092991226","10,7571723993","12,9411761857","15,1443654049","11,4084182874","12,8256302521","14,3843208384","12,1258270537","13,6851931528","18,5987669731","16,0947912683","21,4051715129","20,0383168527","21,61894914","18,7451100167","15,865561513","17,0316586111","14,1447743635","11,0718227346","11,5723335289","11,4974192885","10,3327439498","13,9105645888","13,699197269","13,5151110593","13,6026147116","14,2952804419","18,3253187155","17,2462854327","15,6812995804","15,0551087041","12,6867821058","13,6845417528","17,3955162181","17,3539932275","17,835387429","19,6591594105","20,5539091287","20,3006019739","20,846554901","19,7359154167","20,8241438138","20,8310586678","16,4020867167","12,9008952299","14,663611258",
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,9300165339","16,2584724445","17,0873397578","17,1829244562","24,5258165294","22,3841427306","21,2203061229","21,6962636584","20,9929015636","21,393628066","20,782506224","21,0087092324","19,4380517996","19,8473887288","19,7031657494","16,1421445941","14,0435193318","21,6155768978","20,7276560795","19,5344213714","17,2291343695","14,2437895545","15,5757123409","21,2650136925","20,0957731471",
Guinea-Bissau,,,,,,,,,,,"29,5729572954","28,0002837499","22,7521501173","20,889861415","16,8152449021","15,3973986838","16,2586636111","19,7804261347","21,6951335855","21,8370772571","28,1809613572","25,7457080562","28,2595184762","22,6619445217","37,7245506963","35,1001427867","23,7796457714","35,2144648255","44,7013037051","38,9819321632","29,9258188326","30,9893743305","48,3967391105","30,8574691444","21,7707041291","22,3010548104","23,0520755311","23,9992548407","11,3350082102","16,8","11,3",15,"9,6456854175",,,,,,,,,
Guyana,"28,2727895819","23,9799121155","16,6367444644","16,8934616661","16,0527103923","22,2344827586","23,8683127572","25,8170703033","22,2633297062","20,8182912154","22,7595220314","18,6314493817","19,8398141747","27,2177419355","26,4062000157","33,0610517407","37,4526900788","29,0744190181","20,5095848042","30,9931385203","32,7586206897","31,3713224845","24,9654218534","21,3896457766","27,4203236591","35,7948717949","40,1382512155","31,1079112544","21,1454815627","22,2362059856","31,1330983679","41,1595703357","52,4949308978","41,5093322988","27,2228778479","33,2286832004","31,8572068903","31,8879419687","28,9207550942","24,9979547325","23,7759824672","22,0624858249","20,9664832623","20,9841607893","23,6024722293","24,7847736961","28,6377772602","24,0515459234","21,3667769249","25,6569025908","26,7325662213",
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,3679814128","22,120216467","13,8373197479","10,2005694796","26,0895185249","28,1310294559","24,5292102583","26,0044129086","27,6980391024","27,336942511","25,8553092182","25,0670013188","30,6935653568","27,3429875986","27,4180974202","29,343807529","30,4811230748","28,8443273874","27,4109792285","24,9986892858",
Honduras,"13,8984067403","12,1841661988","14,8936164067","15,9556313993","14,6170678337","14,617123759","16,0378211536","19,6539045552","18,498762684","19,3712565571","20,8852005533","17,0998632011","15,9402247946","19,0684938194","26,1962300628","18,9501779359","19,2136507639","23,0607970877","26,5612857476","26,7821456172","24,7661727231","21,0675651711","14,1036678315","13,8446540276","17,4148840012","17,3238085201","13,8505972317","17,4111982076","20,992325154","19,1407009822","22,9799792614","24,653671693","25,9627659574","33,5581118604","37,6307948167","31,5567760685","31,1286979461","32,1684251725","30,9264885431","34,6736536266","28,2884230363","26,0009654378","24,2583945145","25,2808975219","29,6655510448","27,6235209729","28,3419244754","33,6652961335","36,0658733182","19,8457891463","22,9556573471",
"Hong Kong, China","27,6886861856","25,0647978755","26,738070561","31,6816542358","34,3075377984","34,9082305707","27,6548052676","20,116354234","16,6192752133","16,3671935334","20,4112554113","24,3742259917","23,4518776424","22,9071795369","24,2213505778","22,9568059394","25,3876245229","26,543934883","28,7579640132","32,6810802165","34,8467943264","34,998410083","31,0043601081","26,6966443759","24,4465238283","21,5090509098","23,424656676","26,0387100709","28,2797235865","26,3981815063","27,0282995242","26,7855383849","28,0498135594","27,1274876185","31,2199872073","34,0598473299","31,5782025098","34,007021122","28,859095705","24,8459738463","27,4560012143","25,321693511","22,8358101454","21,9222181459","21,8364407167","20,570740422","21,7277580952","20,9341695274","20,4430382389","21,3071757641","23,713570715",
Hungary,"27,8329452586","27,6660405061","26,9626005609","28,5896319785","29,4947719071","25,5193121743","26,2269948343","30,2255023708","30,9235814256","30,5529026092","33,5960522992","37,6658251281","31,744423982","29,6515666448","35,7531384481","37,7816593524","36,1656797556","37,2093664149","41,3103817066","34,2762894108","30,6860592679","29,6625773164","28,5191969061","26,4573550789","25,7318673502","25,0008223223","26,8863886848","26,7035234065","25,3184611668","26,5900989823","25,387914592","19,7307116536","15,508376126","19,2496066764","21,4067934962","21,8016110467","23,7736741972","25,0314804624","27,6501560563","26,0919344867","27,1002082887","25,2438608894","24,6700369142","23,6492282562","25,9048310531","24,5359640441","24,1401470275","22,4310232053","23,5421104227","17,9326192472","18,4031411792",
Iceland,,,,,,"27,8685565266","29,4842757499","33,0170879618","33,4965707782","26,2540117452","24,9806746128","33,4069811516","28,474286734","32,3733639188","36,3465494784","35,4788164161","28,7793678061","30,0287505317","24,7989098677","25,0673776689","27,0529576594","26,7927156207","28,0419761773","21,0208214914","23,1715674294","20,7697083259","18,431476962","20,7035851808","20,8355359276","18,8048924065","18,9769203052","20,031108249","18,104126624","16,9115192521","16,0055664185","16,342020057","18,9500061218","19,6891428997","24,1383741708","21,8030874191","23,2349049706","21,2732828918","18,1970577321","19,7759521914","23,4974076568","28,1934036137","35,6074061073","29,0153016863","24,6816707911","14,0326444605","12,7849336769",
India,"15,1270800584","14,7868898314","15,6663199191","15,7818504415","15,5941790941","16,1300685323","16,3728674592","15,0055206959","14,164377988","15,1115524967","15,5916884689","16,7094077499","15,9714971332","16,4779912085","18,138117461","18,7898505123","18,9176978766","18,4686174559","20,5170107119","21,2099381933","18,5485313338","22,1872895993","21,423748685","19,4907521855","21,3525201791","23,465680873","23,027101545","22,0001620741","23,6373786602","23,7221233422","24,155934441","21,9762680437","23,7728062121","21,2203671727","23,5262324713","26,5934337014","22,1207920692","23,90093232","22,635006073","26,101888542","24,1642780289","24,1795790346","25,2383216388","26,7721766443","32,8183963464","34,6620500828","35,6703539534","38,1421081953","34,5197409891","36,4750252318","34,7693847355",
Indonesia,"9,2233009709","11,8951612903","6,5294532165","9,5392790251","14,0541976621","7,7857713032","5,2656366807","9,3164559874","10,2414439934","13,5784003318","15,8317133609","18,3737647096","21,8427311297","20,808750881","19,5214839065","23,6643062822","24,1043041252","23,3837220011","23,8879284254","24,8260070295","24,0682784656","26,6940881354","27,7566384509","31,3208222549","26,8335900146","27,9574168982","29,5461937186","30,193507821","28,844528519","32,5639919258","30,6682469228","31,5539620512","30,4778873314","29,4784233469","31,0572933561","31,9281390747","30,6914984216","31,7512617751","16,7749637915","11,3674011328","22,2456969316","22,5392663161","21,4040702075","25,5984988955","24,0563655994","25,0814093991","25,4002172944","24,9202838487","27,8162445799","30,9985186544","32,4872392168",
Iran,,,,,,"27,2392312681","27,3381896166","26,5237611039","32,3391492126","30,2256373265","29,9290420555","24,5566715985","31,1800502882","25,4704827583","16,947215902","23,0514100356","28,3646959827","29,5949468638","22,2451675512","13,721503588","31,1401206659","27,1438423576","19,8856583235","27,4280415392","24,3035905855","21,107873675","17,4786039922","21,3761321828","17,3252649334","21,6729531772","37,1827051244","45,7036995962","46,2682490119","33,2775312966","22,7357878869","29,1956400059","35,8814927637","35,7456103644","32,8422524594","29,7444929425","32,9765858371","32,8602330192","35,0977970289","36,2860200752","36,018454772","32,6937837963","32,556760586","33,1589699134",,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,"23,1357876335","22,7247566584","23,7364836002","25,4155830799","27,4876315517","22,1056412408","24,0572009033","26,4445124377","27,5053933532","31,2807210994","26,3567792942","26,8760649206","26,3091208568","22,5685899632","21,5581885186","18,9034918604","17,7465208238","16,159977395","15,7526939417","17,7745050769","20,7840617384","18,9936752612","16,0626682536","14,9352411199","15,9439652716","18,2215575917","19,710869051","21,4329418213","23,3337124021","23,7435379556","23,8727665378","22,6217351896","22,0436219746","23,2680545458","24,6229554263","27,1284719301","28,0335177641","26,062090674","21,5755544747","14,3394231961","11,040547343",
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,"19,1018381569","20,4781121679","22,8170025589","21,066994629","23,5089607982","26,050955414","21,0804020101","16,8651778329","23,2517861009","26,5886915186","28,4263149497","31,9647968556","31,2856428214","25,7944696657","35,7493967289","31,265591219","27,2858746549","24,4058373871","27,0499052432","27,0982243201","22,3990251944","21,1202799946","23,4778794371","23,3421705754","21,686747715","19,3585817732","19,1260664514","19,6033377347","18,3653685991","17,3286838264","25,0966167738","25,3902339429","24,8587224657","25,185447977","24,1213688209","24,7061670354","24,5547262942","23,5904568311","21,7539154174","21,991104134","20,9657124882","20,5332818085","18,8636957902","17,837488458","17,9557087826","19,1817427386","18,7935677464","19,5463622979","18,4585045646","16,3850852293","15,5725953628",
Italy,,,,,,"23,1467074419","22,6234884562","23,5298335216","24,1456293933","25,2390798614","25,9706596949","23,8017924703","22,9041222853","26,3230687935","29,7304558554","23,7449902576","26,5615330187","24,4086508615","23,8552129376","24,3880452705","26,7312143324","24,6596860144","23,701949882","22,2179344935","23,2799666135","23,1393023434","21,7184487339","22,0982798785","22,54828084","22,2983814274","22,3445997297","22,0201374956","21,5383864811","19,0464911222","18,9817434547","20,0150330651","19,302599971","19,4560308314","19,6910946304","20,1815320421","20,824694604","20,7180260266","21,3180639415","20,8819462791","20,9951558827","20,8929428598","21,8056331877","22,1155613478","21,6384828588","19,1606685239","20,3960571805",
